names,category,weight
rqtttt,Ot,0.5
zhuztd,Ot,0.5
hqxfqg,Ot,0.5
sanjtt,Fy,0.5
mjbgpk,Ot,0.5
jwmycl,Fy,0.5
wxovdb,Fy,0.5
sahqcu,Fy,0.5
fczgkv,Fy,0.5
mcgips,Fy,0.5
aovnzj,Ot,0.5
wukosn,Sp,0.5
fyzqvq,Ot,0.5
fnurdx,Ot,0.5
spkret,Ot,0.5
oweqqz,Sp,0.5
qzgjjz,Fr,0.5
cnqgix,Ot,0.5
mhddzw,Fr,0.5
qryayi,Ot,0.5
pprrzq,Ot,0.5
dyppsw,Fr,0.5
nwqzbl,Ot,0.5
rfqejd,Fr,0.5
agwnwx,Ot,0.5
iivexe,Fy,0.5
mggeyh,Ot,0.5
owdkvc,Fr,0.5
weohep,Sp,0.5
odbwvh,Ot,0.5
hpxqir,Fy,0.5
ippnup,Ot,0.5
zedvma,Fr,0.5
nyrtuh,Ot,0.5
kodffm,Fr,0.5
frvvlp,Fr,0.5
kxxrmi,St,1.0
lrjlhy,Ot,0.5
yabivi,Ot,0.5
hbrtjo,Fy,0.5
cuckqa,Fy,0.5
jvctme,Ot,0.5
gdygjz,Ot,0.5
botgpa,Fy,0.5
eyapdz,Sp,0.5
ezdrwi,Ot,0.5
ihzuhj,Fy,0.5
dtqqbg,Ot,0.5
ldtohu,Ot,0.5
mbwwkg,Ot,0.5
iasjvb,Fr,0.5
uinkfb,Ot,0.5
qilllq,Ot,0.5
grcqln,Ot,0.5
gleecr,Fy,0.5
olkliq,Ot,0.5
hnszda,St,1.0
qmgnmq,Ot,0.5
oelrct,Ot,0.5
bfpudr,Ot,0.5
dmcjzu,Fr,0.5
biscbn,Fr,0.5
ggubju,Fy,0.5
nnvbkw,Fr,0.5
gqhrem,Ot,0.5
kqzmtl,Ht,1.0
aputug,Ot,0.5
andpxd,Fy,0.5
kzjbgy,Fy,0.5
hybrgd,St,1.0
tuqgdg,Ot,0.5
cfhsss,Ot,0.5
bfeeto,Ot,0.5
lbregx,Ot,0.5
arepze,Fr,0.5
hsaakg,Fy,0.5
nklcfc,Ot,0.5
hcekni,Ot,0.5
hihcue,Fy,0.5
scmyzt,Ot,0.5
hfyodx,Fr,0.5
lfazlc,Fy,0.5
byqyrv,Ot,0.5
vdaadt,Fr,0.5
fcmrls,Ot,0.5
xlggcm,Fr,0.5
uxreoc,Ot,0.5
yqktvl,Fy,0.5
zqsjmt,Ot,0.5
bzpllp,St,1.0
uqxkys,Ot,0.5
gcnrym,Fy,0.5
mtygia,Sp,0.5
ofmpiz,Sp,0.5
qoglto,Ot,0.5
ljcnjl,Ot,0.5
jcmenb,Ot,0.5
niwomq,Fr,0.5
jllxwh,Fy,0.5
ydgime,Ot,0.5
eizrkx,Fr,0.5
taxawc,Ht,1.0
uasfmr,Ot,0.5
nmhbeo,Ht,1.0
bjiknp,Fy,0.5
sxuofh,Ot,0.5
hmsywh,Ot,0.5
aldmqg,Fr,0.5
nkfvhl,Ot,0.5
lmaemh,St,1.0
tysxoc,Fr,0.5
jcfgrk,Fr,0.5
grzcch,Fy,0.5
bjxhlr,Fy,0.5
squzuk,Fy,0.5
qtregz,Sp,0.5
dnoqyd,Fy,0.5
jhzokf,Fr,0.5
stjfrp,Fy,0.5
iumbgc,Ot,0.5
wwcmgn,Ot,0.5
jrggax,Fy,0.5
azvpsv,Ot,0.5
yuqyie,Ot,0.5
weldnx,Ot,0.5
dijoyw,Fy,0.5
hzhvnu,Ot,0.5
